web_scraper_order,web_scraper_start_url,pagination,price,data,data2,title,image,image2,image3,item_page_title,item_page_link,data_1,data_2,Product_Color,Product_Size,image_1
"1771962625-79","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€5,469.34","What Goes Around Comes Around","Chanel Caviar Business Affinity Flap Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3931811de9/wgadb3931811de9_1739846479305_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Caviar Business Affinity Flap Bag€5,469.34","https://www.shopbop.com/chanel-pink-caviar-business-affinity/vp/v=1/1508019989.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2019204766&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_22","What Goes Around Comes Around","Chanel Caviar Business Affinity Flap Bag","Pink","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3931811de9/wgadb3931811de9_1739846479305_2-0._QL90_UX1128_.jpg"
"1771962629-80","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€3,815.82","Shopbop Archive","Chanel Chain Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb333851071b/sbadb333851071b_1737041729021_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveChanel Chain Shoulder Bag€3,815.82","https://www.shopbop.com/chanel-chain-shoulder-bag-lambskin/vp/v=1/1516579627.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2050859535&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_21","Shopbop Archive","Chanel Chain Shoulder Bag","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb333851071b/sbadb333851071b_1737041729021_2-0._QL90_UX1128_.jpg"
"1771962632-81","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,229.54","What Goes Around Comes Around","Louis Vuitton Monogram Musette Salsa Crossbody Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941811409/wgadb3941811409_1739827672838_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Musette Salsa Crossbody Bag€1,229.54","https://www.shopbop.com/monogram-musettesalsa-what-goes-around/vp/v=1/1513342199.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2008896574&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_20","What Goes Around Comes Around","Louis Vuitton Monogram Musette Salsa Crossbody Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941811409/wgadb3941811409_1739827672838_2-0._QL90_UX1128_.jpg"
"1771962636-82","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,247.09","What Goes Around Comes Around","Yves Saint Laurent Black Leather Le5 A7 Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb392341071b/wgadb392341071b_1739847577486_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundYves Saint Laurent Black Leather Le5 A7 Shoulder Bag€2,247.09","https://www.shopbop.com/ysl-black-leather-le5-shoulder/vp/v=1/1557871960.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2098611095&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_19","What Goes Around Comes Around","Yves Saint Laurent Black Leather Le5 A7 Shoulder Bag","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb392341071b/wgadb392341071b_1739847577486_2-0._QL90_UX1128_.jpg"
"1771962641-83","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€551.17","Diesel","1dr Bag","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/diesl/diesl30021239cf/diesl30021239cf_1740674112117_2-0._QL90_UX1128_.jpg","","","Diesel1dr Bag€551.17","https://www.shopbop.com/1dr-diesel/vp/v=1/1515387125.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2051314603&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_18","Diesel","1dr Bag","Ha350","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/diesl/diesl30021239cf/diesl30021239cf_1740674112117_2-0._QL90_UX1128_.jpg"
"1771962644-84","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,144.75","What Goes Around Comes Around","Louis Vuitton Monogram Looping GM Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941411409/wgadb3941411409_1739827668584_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Looping GM Shoulder Bag€1,144.75","https://www.shopbop.com/monogram-looping-what-goes-around/vp/v=1/1508769077.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2039237153&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_17","What Goes Around Comes Around","Louis Vuitton Monogram Looping GM Shoulder Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941411409/wgadb3941411409_1739827668584_2-0._QL90_UX1128_.jpg"
"1771962647-85","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€4,366.99","What Goes Around Comes Around","Chanel Red Canvas Small Deauville Tote","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39321102d9/wgadb39321102d9_1739981063395_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Red Canvas Small Deauville Tote€4,366.99","https://www.shopbop.com/chanel-red-canvas-deauville-small/vp/v=1/1587412375.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2038423771&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_16","What Goes Around Comes Around","Chanel Red Canvas Small Deauville Tote","Red","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39321102d9/wgadb39321102d9_1739981063395_2-0._QL90_UX1128_.jpg"
"1771962651-86","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,483.93","FERRAGAMO","Hobo Smile Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ferrg/ferrg3221811012/ferrg3221811012_1736959468403_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueFERRAGAMOHobo Smile Shoulder Bag€1,483.93","https://www.shopbop.com/hobo-smile-ferragamo/vp/v=1/1588116789.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095785472&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_15","FERRAGAMO","Hobo Smile Shoulder Bag","Nero","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ferrg/ferrg3221811012/ferrg3221811012_1736959468403_2-0._QL90_UX1128_.jpg"
"1771962654-87","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,416.69","Shopbop Archive","Hermes Swift Jige Elan Clutch Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33417102d9/sbadb33417102d9_1738601144607_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveHermes Swift Jige Elan Clutch Bag€2,416.69","https://www.shopbop.com/hermes-swift-jige-elan-clutch/vp/v=1/1517435717.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2070793448&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_14","Shopbop Archive","Hermes Swift Jige Elan Clutch Bag","Red","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33417102d9/sbadb33417102d9_1738601144607_2-0._QL90_UX1128_.jpg"
"1771962658-88","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€3,179.85","What Goes Around Comes Around","Hermes Orange Clemence Evelyne III PM Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3930610bee/wgadb3930610bee_1738361448286_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundHermes Orange Clemence Evelyne III PM Bag€3,179.85","https://www.shopbop.com/hermes-orange-clemence-evelyne-what/vp/v=1/1575791017.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2099962159&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_13","What Goes Around Comes Around","Hermes Orange Clemence Evelyne III PM Bag","Orange","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3930610bee/wgadb3930610bee_1738361448286_2-0._QL90_UX1128_.jpg"
