web_scraper_order,web_scraper_start_url,pagination,price,data,data2,title,image,image2,image3,item_page_title,item_page_link,data_1,data_2,Product_Color,Product_Size,image_1
"1771962661-89","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,314.34","What Goes Around Comes Around","Louis Vuitton Monogram Vivacite GM Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3943311409/wgadb3943311409_1739820596126_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Vivacite GM Shoulder Bag€1,314.34","https://www.shopbop.com/monogram-vivacite-what-goes-around/vp/v=1/1538198267.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2024102180&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_12","What Goes Around Comes Around","Louis Vuitton Monogram Vivacite GM Shoulder Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3943311409/wgadb3943311409_1739820596126_2-0._QL90_UX1128_.jpg"
"1771962665-90","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,162.30","Shopbop Archive","Loewe Puzzle Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33361102c9/sbadb33361102c9_1738190004460_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveLoewe Puzzle Shoulder Bag€2,162.30","https://www.shopbop.com/loewe-puzzle-shoulder-bag-calfskin/vp/v=1/1533699493.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2022743952&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_11","Shopbop Archive","Loewe Puzzle Shoulder Bag","Blue","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33361102c9/sbadb33361102c9_1738190004460_2-0._QL90_UX1128_.jpg"
"1771962669-91","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,539.64","Shopbop Archive","Hermes Evelyn Shoulder Bag, Calfskin Leather","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3339011409/sbadb3339011409_1737476693217_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveHermes Evelyn Shoulder Bag, Calfskin Leather€2,539.64","https://www.shopbop.com/hermes-evelyn-shoulder-bag-calfskin/vp/v=1/1599922866.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2046723589&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_10","Shopbop Archive","Hermes Evelyn Shoulder Bag, Calfskin Leather","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3339011409/sbadb3339011409_1737476693217_2-0._QL90_UX1128_.jpg"
"1771962673-92","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€699.57","Wandler","Ida Bag","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wandl/wandl3032525c5a/wandl3032525c5a_1753981669357_2-0._QL90_UX1128_.jpg","","","WandlerIda Bag€699.57","https://www.shopbop.com/ida-bag-wandler/vp/v=1/1528363380.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2018320942&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_9","Wandler","Ida Bag","Grape - 5820","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wandl/wandl3032525c5a/wandl3032525c5a_1753981669357_2-0._QL90_UX1128_.jpg"
"1771962676-93","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,144.75","What Goes Around Comes Around","Louis Vuitton Monogram Pochette Marly Bandouliere Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3942111409/wgadb3942111409_1739826519305_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Pochette Marly Bandouliere Bag€1,144.75","https://www.shopbop.com/monogram-pochette-marly-bando-what/vp/v=1/1509052659.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2043870142&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_8","What Goes Around Comes Around","Louis Vuitton Monogram Pochette Marly Bandouliere Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3942111409/wgadb3942111409_1739826519305_2-0._QL90_UX1128_.jpg"
"1771962680-94","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,840.67","What Goes Around Comes Around","Chanel Pink Lambskin Executive Cerf Shopper Tote","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3932011de9/wgadb3932011de9_1739981058644_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Pink Lambskin Executive Cerf Shopper Tote€2,840.67","https://www.shopbop.com/chanel-pink-lambskin-executive-cerf/vp/v=1/1582530205.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2056532730&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_7","What Goes Around Comes Around","Chanel Pink Lambskin Executive Cerf Shopper Tote","Pink","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3932011de9/wgadb3932011de9_1739981058644_2-0._QL90_UX1128_.jpg"
"1771962684-95","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€805.56","Jacquemus","Le Bambino De Voyage Bag","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jcque/jcque312041cd2d/jcque312041cd2d_1695829634427_2-0._QL90_UX1128_.jpg","","","JacquemusLe Bambino De Voyage Bag€805.56","https://www.shopbop.com/bambino-voyage-jacquemus/vp/v=1/1567506734.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2008894968&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_6","Jacquemus","Le Bambino De Voyage Bag","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jcque/jcque312041cd2d/jcque312041cd2d_1695829634427_2-0._QL90_UX1128_.jpg"
"1771962689-96","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,865.51","Shopbop Archive","Hermes Garden Party Tote","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3336914997/sbadb3336914997_1737062854384_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveHermes Garden Party Tote€1,865.51","https://www.shopbop.com/hermes-garden-party-tote-canvas/vp/v=1/1515863499.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2070781905&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_5","Shopbop Archive","Hermes Garden Party Tote","Neutral","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3336914997/sbadb3336914997_1737062854384_2-0._QL90_UX1128_.jpg"
"1771962693-97","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,314.34","What Goes Around Comes Around","Louis Vuitton Monogram Noe Bucket Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941911409/wgadb3941911409_1739820687608_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Noe Bucket Bag€1,314.34","https://www.shopbop.com/monogram-noe-what-goes-around/vp/v=1/1599792220.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2071575295&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_4","What Goes Around Comes Around","Louis Vuitton Monogram Noe Bucket Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941911409/wgadb3941911409_1739820687608_2-0._QL90_UX1128_.jpg"
"1771962698-98","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,178.66","Isabel Marant","Oskan Hobo Soft Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3184213711/ismdb3184213711_1717796910272_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueIsabel MarantOskan Hobo Soft Bag€1,178.66","https://www.shopbop.com/oskan-hobo-soft-isabel-marant/vp/v=1/1544602814.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2027332773&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_3","Isabel Marant","Oskan Hobo Soft Bag","Cognac","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3184213711/ismdb3184213711_1717796910272_2-0._QL90_UX1128_.jpg"
"1771962701-99","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,628.68","Shopbop Archive","Hermes Evelyn Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3345410bee/sbadb3345410bee_1742564078298_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveHermes Evelyn Shoulder Bag€2,628.68","https://www.shopbop.com/hermes-evelyn-shoulder-bag-calfskin/vp/v=1/1588785704.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2072466253&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_2","Shopbop Archive","Hermes Evelyn Shoulder Bag","Orange","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3345410bee/sbadb3345410bee_1742564078298_2-0._QL90_UX1128_.jpg"
"1771962705-100","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,229.54","What Goes Around Comes Around","Louis Vuitton Monogram Amazone Crossbody Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3940711409/wgadb3940711409_1739826507721_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Amazone Crossbody Bag€1,229.54","https://www.shopbop.com/monogram-amazone-what-goes-around/vp/v=1/1560598078.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2016574559&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_1","What Goes Around Comes Around","Louis Vuitton Monogram Amazone Crossbody Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3940711409/wgadb3940711409_1739826507721_2-0._QL90_UX1128_.jpg"
"1771962720-101","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€1,606.88","What Goes Around Comes Around","Louis Vuitton Monogram Sologne Saddle Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3942811409/wgadb3942811409_1739829212994_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Sologne Saddle Bag€1,606.88","https://www.shopbop.com/monogram-sologne-what-goes-around/vp/v=1/1505347307.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2015877905&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_100","What Goes Around Comes Around","Louis Vuitton Monogram Sologne Saddle Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3942811409/wgadb3942811409_1739829212994_2-0._QL90_UX1128_.jpg"
"1771962724-102","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€4,197.40","What Goes Around Comes Around","Chanel Green Boucle Deauville Small Tote","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39455102c8/wgadb39455102c8_1743722351822_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Green Boucle Deauville Small Tote€4,197.40","https://www.shopbop.com/chanel-green-boucle-deauville-small/vp/v=1/1571149534.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2036395749&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_99","What Goes Around Comes Around","Chanel Green Boucle Deauville Small Tote","Green","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39455102c8/wgadb39455102c8_1743722351822_2-0._QL90_UX1128_.jpg"
"1771962727-103","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€843.72","Shopbop Archive","Gucci Vintage Web Belt Bag, Gg Canvas","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3056411409/sbadb3056411409_q1_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveGucci Vintage Web Belt Bag, Gg Canvas€843.72","https://www.shopbop.com/gucci-vintage-web-belt-bag/vp/v=1/1533982268.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2076823996&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_98","Shopbop Archive","Gucci Vintage Web Belt Bag, Gg Canvas","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3056411409/sbadb3056411409_q1_2-0._QL90_UX1128_.jpg"
"1771962731-104","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€2,967.86","What Goes Around Comes Around","Chanel Caviar Boy Double Zip Wallet On Chain","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3945611de9/wgadb3945611de9_1744068017150_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Caviar Boy Double Zip Wallet On Chain€2,967.86","https://www.shopbop.com/chanel-caviar-boydoublzpwoc-what-goes/vp/v=1/1556754210.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2043253444&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_97","What Goes Around Comes Around","Chanel Caviar Boy Double Zip Wallet On Chain","Pink","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3945611de9/wgadb3945611de9_1744068017150_2-0._QL90_UX1128_.jpg"
"1771962735-105","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€1,984.23","Maison Margiela","Glam Slam Pillow Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/margi/margi411521071b/margi411521071b_1744921972387_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueMaison MargielaGlam Slam Pillow Bag€1,984.23","https://www.shopbop.com/glam-slam-pillow-bag-maison/vp/v=1/1536980947.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2053833061&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_96","Maison Margiela","Glam Slam Pillow Bag","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/margi/margi411521071b/margi411521071b_1744921972387_2-0._QL90_UX1128_.jpg"
"1771962738-106","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€924.28","Isabel Marant","Altay Small Crossbody Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3209713711/ismdb3209713711_1742906525558_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueIsabel MarantAltay Small Crossbody Bag€924.28","https://www.shopbop.com/altay-small-shoulder-strap-isabel/vp/v=1/1561646034.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2035060278&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_95","Isabel Marant","Altay Small Crossbody Bag","Cognac","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3209713711/ismdb3209713711_1742906525558_2-0._QL90_UX1128_.jpg"
"1771962740-107","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€4,053.25","Shopbop Archive","Chanel Chain Shoulder Bag, Satin","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb335551071b/sbadb335551071b_1745948299390_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveChanel Chain Shoulder Bag, Satin€4,053.25","https://www.shopbop.com/chanel-chain-shoulder-bag-satin/vp/v=1/1542598158.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2005990479&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_94","Shopbop Archive","Chanel Chain Shoulder Bag, Satin","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb335551071b/sbadb335551071b_1745948299390_2-0._QL90_UX1128_.jpg"
"1771962743-108","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€1,437.29","Marni","Small Hobo Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mardb/mardb3133212549/mardb3133212549_1725544853761_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueMarniSmall Hobo Bag€1,437.29","https://www.shopbop.com/small-hobo-marni/vp/v=1/1537969750.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000741435&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_93","Marni","Small Hobo Bag","Coffee","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mardb/mardb3133212549/mardb3133212549_1725544853761_2-0._QL90_UX1128_.jpg"
"1771962747-109","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€1,611.12","Shopbop Archive","Fendi Fendigraphy Handbag Goatskin Leather","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33521102cb/sbadb33521102cb_1744842832210_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveFendi Fendigraphy Handbag Goatskin Leather€1,611.12","https://www.shopbop.com/fendi-fendigraphy-hand-bag-goatskin/vp/v=1/1571571166.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2089362631&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_92","Shopbop Archive","Fendi Fendigraphy Handbag Goatskin Leather","Multi","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33521102cb/sbadb33521102cb_1744842832210_2-0._QL90_UX1128_.jpg"
"1771962752-110","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€296.79","Marc Jacobs","The Big Shot Camera Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3406722451/mjadb3406722451_1736970222949_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueMarc JacobsThe Big Shot Camera Bag€296.79","https://www.shopbop.com/big-shot-marc-jacobs/vp/v=1/1550745522.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095639133&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_91","Marc Jacobs","The Big Shot Camera Bag","Dark Grey","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3406722451/mjadb3406722451_1736970222949_2-0._QL90_UX1128_.jpg"
"1771962758-111","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€5,893.32","What Goes Around Comes Around","Chanel Red Caviar New Classic Jumbo Flap Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb394591bb4e/wgadb394591bb4e_1744211540980_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Red Caviar New Classic Jumbo Flap Bag€5,893.32","https://www.shopbop.com/chanel-red-caviar-new-classic/vp/v=1/1583836900.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2037274797&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_90","What Goes Around Comes Around","Chanel Red Caviar New Classic Jumbo Flap Bag","Red","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb394591bb4e/wgadb394591bb4e_1744211540980_2-0._QL90_UX1128_.jpg"
"1771962763-112","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€3,773.42","What Goes Around Comes Around","Chanel Canvas Deauville Small Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb395861040f/wgadb395861040f_1746648722782_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Canvas Deauville Small Bag€3,773.42","https://www.shopbop.com/chanel-yellow-canvas-deauville-small/vp/v=1/1561410702.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2001311868&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_89","What Goes Around Comes Around","Chanel Canvas Deauville Small Bag","Yellow","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb395861040f/wgadb395861040f_1746648722782_2-0._QL90_UX1128_.jpg"
"1771962767-113","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€2,115.66","TUMI","Aero International Expandable 4 Wheel Carry On Suitcase","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/tumii/tumii3136811965/tumii3136811965_1668438420920_2-0._QL90_UX1128_.jpg","","","TUMIAero International Expandable 4 Wheel Carry On Suitcase€2,115.66","https://www.shopbop.com/aero-intl-exp-whl-tumi/vp/v=1/1591837889.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2083150783&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_88","TUMI","Aero International Expandable 4 Wheel Carry On Suitcase","Carbon","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/tumii/tumii3136811965/tumii3136811965_1668438420920_2-0._QL90_UX1128_.jpg"
"1771962771-114","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€8,055.62","What Goes Around Comes Around","Chanel Multi Tweed 2.55 Bag 10""","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39723102cb/wgadb39723102cb_1747166741338_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Multi Tweed 2.55 Bag 10""€8,055.62","https://www.shopbop.com/chanel-multi-tweed-255-what/vp/v=1/1516825902.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2083169350&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_87","What Goes Around Comes Around","Chanel Multi Tweed 2.55 Bag 10""","Multi","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39723102cb/wgadb39723102cb_1747166741338_2-0._QL90_UX1128_.jpg"
"1771962775-115","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€5,511.74","What Goes Around Comes Around","Chanel Lambskin Chevron Trendy CC Pouchette","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39719102c9/wgadb39719102c9_1747149905886_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundChanel Lambskin Chevron Trendy CC Pouchette€5,511.74","https://www.shopbop.com/chanel-blue-lambskin-chevron-trendy/vp/v=1/1587642230.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2039357304&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_86","What Goes Around Comes Around","Chanel Lambskin Chevron Trendy CC Pouchette","Blue","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39719102c9/wgadb39719102c9_1747149905886_2-0._QL90_UX1128_.jpg"
"1771962780-116","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€669.89","Proenza Schouler","Slide Bag in Soft Suede","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/prosh/prosh2078910401/prosh2078910401_1724783246062_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueProenza SchoulerSlide Bag in Soft Suede€669.89","https://www.shopbop.com/slide-bag-soft-suede-proenza/vp/v=1/1564081223.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000577792&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_85","Proenza Schouler","Slide Bag in Soft Suede","Saddle","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/prosh/prosh2078910401/prosh2078910401_1724783246062_2-0._QL90_UX1128_.jpg"
"1771962783-117","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1300","€657.17","Isabel Marant","Skano","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3181011876/ismdb3181011876_1708645151704_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueIsabel MarantSkano€657.17","https://www.shopbop.com/skano-isabel-marant/vp/v=1/1596887098.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2066485319&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_84","Isabel Marant","Skano","Taupe","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3181011876/ismdb3181011876_1708645151704_2-0._QL90_UX1128_.jpg"
