product_page_url,product_name,brand_name,retailer,product_description,color,original_price,sale_price,product_image_url,size_availability,product_code,scraped_at
https://www.shopbop.com/arabella-mary-jane-stuart-weitzman/vp/v=1/1539447550.htm,Arabella Mary Jane Flats,Stuart Weitzman,Shopbop,,Classic,$450.00,$180.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/stuar/stuar2154712118/stuar2154712118_1747438080794_2-0.jpg,"6, 6.5, 7, 7.5, 8, 8.5, 9",STUAR21547,2026-02-21T19:18:43.872Z
https://www.shopbop.com/cairo-sandal-amanu/vp/v=1/1543755916.htm,The Cairo Sandals,AMANU,Shopbop,,Chocolate 200,$395.00,$158.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/amnuu/amnuu3002623b9c/amnuu3002623b9c_1747771211488_2-0.jpg,"5, 6, 7, 8, 9, 10, 11",AMNUU30026,2026-02-21T19:18:43.872Z
https://www.shopbop.com/malva-bootie-alexandre-birman/vp/v=1/1578001235.htm,Malva Booties,Alexandre Birman,Shopbop,,Espresso,$895.00,$358.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/albir/albir3046013128/albir3046013128_1758575373602_2-0.jpg,"36, 37, 38, 39, 40, 41",ALBIR30460,2026-02-21T19:18:43.872Z
https://www.shopbop.com/corinne-lugsole-loafer-madewell/vp/v=1/1500710190.htm,The Corinne Lugsole Loafers,Madewell,Shopbop,,True Black,$158.00,$79.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/madew/madew4573218336/madew4573218336_1652294072341_2-0.jpg,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 11",MADEW45732,2026-02-21T19:18:43.872Z
https://www.shopbop.com/danner-suede-boat-shoe-simkhai/vp/v=1/1554890104.htm,Danner Suede Boat Shoes,SIMKHAI,Shopbop,,Desert,$495.00,$198.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jondb/jondb3172312609/jondb3172312609_1753304152877_2-0.jpg,"38, 39",JONDB31723,2026-02-21T19:18:43.872Z
https://www.shopbop.com/chelsea-boots-thick-alter-mat/vp/v=1/1582955750.htm,Thick Alter Mat and Elastic Chelsea Boots,Stella McCartney,Shopbop,,Black,$895.00,$358.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/stela/stela2227622b0d/stela2227622b0d_1757691425386_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",STELA22276,2026-02-21T19:18:43.872Z
https://www.shopbop.com/mini-robin-combat-boot-attico/vp/v=1/1547310149.htm,Mini Robin Combat Boots,The Attico,Shopbop,,Brown,"$1,150.00",$460.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/atico/atico300691a338/atico300691a338_1750955921942_2-0.jpg,"36, 37, 38, 39, 40, 41",ATICO30069,2026-02-21T19:18:43.872Z
https://www.shopbop.com/royal-black-ballet-destiny-flats/vp/v=1/1519295690.htm,Royal Black Ballet of Destiny Flats,Johanna Ortiz,Shopbop,,Royal Black,$650.00,$260.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jorti/jorti30552265c1/jorti30552265c1_1763740003108_2-0.jpg,"36, 37, 38, 39, 40, 41",JORTI30552,2026-02-21T19:18:43.872Z
https://www.shopbop.com/lidia-western-embroidered-boot-105/vp/v=1/1513839201.htm,Lidia Western Embroidered Boots 105mm,Paris Texas,Shopbop,,Black,"$1,450.00",$580.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/ptexa/ptexa3021922b0d/ptexa3021922b0d_1762186266080_2-0.jpg,"36, 37, 38, 39, 40",PTEXA30219,2026-02-21T19:18:43.872Z
https://www.shopbop.com/nesso-atp-atelier/vp/v=1/1583409557.htm,Nesso Boat Shoes,ATP Atelier,Shopbop,,Walnut,$490.00,$196.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/atpat/atpat3015212798/atpat3015212798_1756133080561_2-0.jpg,"35, 36, 37, 38, 39, 40, 41, 42",ATPAT30152,2026-02-21T19:18:43.872Z
https://www.shopbop.com/grid-slide-flat-attico/vp/v=1/1508823663.htm,Grid Slide Flats,The Attico,Shopbop,,Silver,$850.00,$340.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/atico/atico30068235d8/atico30068235d8_1750453741577_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",ATICO30068,2026-02-21T19:18:43.872Z
https://www.shopbop.com/alloy-black-suede-studio/vp/v=1/1534056761.htm,65mm Alloy Pumps,Black Suede Studio,Shopbop,,Port,$328.00,$131.20,https://m.media-amazon.com/images/G/01/shopbop/prod/products/blksu/blksu3006011939/blksu3006011939_1724794799299_2-0.jpg,"35, 35.5, 36, 36.5, 37, 37.5, 38, 38.5, 39, 39.5, 40, 41",BLKSU30060,2026-02-21T19:18:43.872Z
https://www.shopbop.com/jordi-suede-slouch-boot-simkhai/vp/v=1/1558821178.htm,Jordi Suede Slouch Boots,SIMKHAI,Shopbop,,Black,$695.00,$278.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jondb/jondb3146222b0d/jondb3146222b0d_1724671182010_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",JONDB31462,2026-02-21T19:18:43.872Z
https://www.shopbop.com/solaris-trainer-vince/vp/v=1/1571781945.htm,Solaris Trainers,Vince,Shopbop,,Horchata/Pebble White,$275.00,$110.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/vince/vince53217273f1/vince53217273f1_1754003188207_2-0.jpg,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 11",VINCE53217,2026-02-21T19:18:43.872Z
https://www.shopbop.com/stud-platform-wedge-110mm-tory/vp/v=1/1555641899.htm,Stud Platform Wedges,Tory Burch,Shopbop,,Perfect Black,$475.00,$190.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/toryb/toryb5187192769/toryb5187192769_1758571466975_2-0.jpg,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",TORYB51871,2026-02-21T19:18:43.872Z
