Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/chanel-pink-lambskin-executive-cerf/vp/v=1/1582530205.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2056532730&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_7,Chanel Pink Lambskin Executive Cerf Shopper Tote,Chanel,Shopbop,Chanel Chanel Pink Lambskin Executive Cerf Shopper Tote,Pink,"€2,840.67",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3932011de9/wgadb3932011de9_1739981058644_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/bambino-voyage-jacquemus/vp/v=1/1567506734.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2008894968&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_6,Le Bambino De Voyage Bag,Jacquemus,Shopbop,Jacquemus Le Bambino De Voyage Bag,Black,€805.56,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jcque/jcque312041cd2d/jcque312041cd2d_1695829634427_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/hermes-garden-party-tote-canvas/vp/v=1/1515863499.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2070781905&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_5,Hermes Garden Party Tote,Hermes,Shopbop,Hermes Hermes Garden Party Tote,Neutral,"€1,865.51",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3336914997/sbadb3336914997_1737062854384_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/monogram-noe-what-goes-around/vp/v=1/1599792220.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2071575295&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_4,Louis Vuitton Monogram Noe Bucket Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Monogram Noe Bucket Bag,Brown,"€1,314.34",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3941911409/wgadb3941911409_1739820687608_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/oskan-hobo-soft-isabel-marant/vp/v=1/1544602814.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2027332773&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_3,Oskan Hobo Soft Bag,Isabel Marant,Shopbop,Isabel Marant Oskan Hobo Soft Bag,Cognac,"€1,178.66",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3184213711/ismdb3184213711_1717796910272_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/hermes-evelyn-shoulder-bag-calfskin/vp/v=1/1588785704.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2072466253&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_2,Hermes Evelyn Shoulder Bag,Hermes,Shopbop,Hermes Hermes Evelyn Shoulder Bag,Orange,"€2,628.68",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3345410bee/sbadb3345410bee_1742564078298_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/monogram-amazone-what-goes-around/vp/v=1/1560598078.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2016574559&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_1,Louis Vuitton Monogram Amazone Crossbody Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Monogram Amazone Crossbody Bag,Brown,"€1,229.54",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3940711409/wgadb3940711409_1739826507721_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/monogram-sologne-what-goes-around/vp/v=1/1505347307.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2015877905&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_100,Louis Vuitton Monogram Sologne Saddle Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Monogram Sologne Saddle Bag,Brown,"€1,606.88",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3942811409/wgadb3942811409_1739829212994_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-green-boucle-deauville-small/vp/v=1/1571149534.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2036395749&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_99,Chanel Green Boucle Deauville Small Tote,Chanel,Shopbop,Chanel Chanel Green Boucle Deauville Small Tote,Green,"€4,197.40",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39455102c8/wgadb39455102c8_1743722351822_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/gucci-vintage-web-belt-bag/vp/v=1/1533982268.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2076823996&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_98,"Gucci Vintage Web Belt Bag, Gg Canvas",Gucci,Shopbop,"Gucci Gucci Vintage Web Belt Bag, Gg Canvas",Brown,€843.72,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3056411409/sbadb3056411409_q1_2-0._QL90_UX1128_.jpg,One Size
