Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/stud-ball-gift-set-gwen/vp/v=1/1538647683.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2029962083&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_89,Stud Ball Earrings Gift Set,Gwen Beloti,Shopbop,Gwen BelotiStud Ball Earrings Gift Set,Gold,$175.00,$105.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gwenb/gwenb3002011739/gwenb3002011739_1750974670322_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/baby-audrey-belt-rag-bone/vp/v=1/1542579686.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2014956205&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_88,Baby Audrey Belt,rag & bone,Shopbop,rag & boneBaby Audrey Belt,Greigesd,$178.00,$106.80,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ragbo/ragbo473862368a/ragbo473862368a_1734055880131_2-0._QL90_UX1128_.jpg,XS
https://www.shopbop.com/frangi-necklace-maison-irem/vp/v=1/1570200315.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2068035050&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_87,Frangi Necklace,Maison Irem,Shopbop,Maison IremFrangi Necklace,Pearls,$190.00,$114.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mirem/mirem303921b32e/mirem303921b32e_1758915289476_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/loulou-earrings-julietta/vp/v=1/1511465624.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2098943025&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_86,Loulou Earrings,Julietta,Shopbop,JuliettaLoulou Earrings,Gold,$250.00,$150.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/julet/julet3001511739/julet3001511739_1756406125772_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/coquille-necklace-julietta/vp/v=1/1552909244.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2047386865&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_85,Coquille Necklace,Julietta,Shopbop,JuliettaCoquille Necklace,Silver,$275.00,$165.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/julet/julet3003512208/julet3003512208_1762985459852_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/heart-stripe-pendant-gwen-beloti/vp/v=1/1568182761.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2000846245&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_84,Heart Stripe Pendant Necklace,Gwen Beloti,Shopbop,Gwen BelotiHeart Stripe Pendant Necklace,Gold,$150.00,$90.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gwenb/gwenb3001811739/gwenb3001811739_1752167346904_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/power-gemstone-long-beaded-necklace/vp/v=1/1596818197.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2092114776&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_83,Power Gemstone Long Beaded Necklace,Gorjana,Shopbop,GorjanaPower Gemstone Long Beaded Necklace,Labradorite/Gold,$90.00,$54.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gorja/gorja4262156196/gorja4262156196_1758304661923_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/kelly-dome-stud-earrings-lelet/vp/v=1/1519205055.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2082341999&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_82,Kelly Dome Stud Earrings,LELET NY,Shopbop,LELET NYKelly Dome Stud Earrings,Gold,$128.00,$76.80,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lelet/lelet303571c8e8/lelet303571c8e8_1756304897623_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chunky-marl-scarf-vince/vp/v=1/1508340558.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2069710895&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_81,Chunky Marl Scarf,Vince,Shopbop,VinceChunky Marl Scarf,Grey,$228.00,$136.80,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/vince/vince5310710192/vince5310710192_1760626650082_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/rail-earrings-rachel-comey/vp/v=1/1545485007.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2006327292&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_80,12k Gold Rail Earrings,Rachel Comey,Shopbop,Rachel Comey12k Gold Rail Earrings,Gold,$140.00,$84.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rachc/rachc2189411739/rachc2189411739_1762358067015_2-0._QL90_UX1128_.jpg,One Size
